what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1375104227515
arch,sysinfo,,,"x86",1375104227515
ws,sysinfo,,,"win32",1375104227515
locale,sysinfo,,,"zh_CN",1375104227515
processors,sysinfo,,,"4",1375104227515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1375104227515
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1375104227515
java.specification.name,sysinfo,,,"Java Platform API Specification",1375104227515
java.specification.vendor,sysinfo,,,"Oracle Corporation",1375104227515
java.specification.version,sysinfo,,,"1.7",1375104227515
java.vendor,sysinfo,,,"Oracle Corporation",1375104227515
java.version,sysinfo,,,"1.7.0_03",1375104227515
java.vm.info,sysinfo,,,"mixed mode, sharing",1375104227515
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1375104227515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1375104227515
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1375104227515
java.vm.specification.version,sysinfo,,,"1.7",1375104227515
java.vm.vendor,sysinfo,,,"Oracle Corporation",1375104227515
java.vm.version,sysinfo,,,"22.1-b02",1375104227515
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1375104227677
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1375104227678
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1375104227937
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1375104227940
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1375104227941
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1375104227949
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1375104227956
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1375104227958
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1375104227974
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1375104228005
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1375104228007
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1375104228012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375104630287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375104632463
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375104632533
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1375104632641
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1375104632644
